geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
48170,-11.871386070181266,-38.76214221054382,agua fria,BA
73780,-14.982426371591776,-47.785669667956334,agua fria de goias,GO
75665,-18.079640563533307,-48.76248221647964,agua limpa,GO
59995,-6.2069253279906835,-38.292707827519266,agua nova,RN
55550,-8.710477628760628,-35.523994339760655,agua preta,PE
99965,-28.210844999999946,-52.05992749999996,agua santa,RS
13578,-21.893561999999996,-47.89098450000001,agua vermelha,SP
13860,-22.08160636167807,-46.974041324387365,aguai,SP
37273,-20.944020560082027,-45.39384172169324,aguanil,MG
55340,-9.119762003333497,-37.115327394070455,aguas belas,PE
94760,-30.1680526122049,-50.84041299459422,aguas claras,RS
13890,-21.950909242911294,-46.718951951090425,aguas da prata,SP
89883,-27.077784319585472,-52.984499169077765,aguas de chapeco,SC
13940,-22.520679122234068,-46.64591691136104,aguas de lindoia,SP
18770,-22.89406968374156,-49.23824169701524,aguas de santa barbara,SP
13525,-22.60915545983037,-47.86678214680048,aguas de sao pedro,SP
35362,-20.09343090010419,-42.62611023199263,aguas ferreas,MG
39880,-17.090583715704895,-40.93485435108364,aguas formosas,MG
89843,-26.882312915678025,-52.86005906982433,aguas frias,SC
72910,-15.77336580963823,-48.26734807730534,aguas lindas de goias,GO
72911,-15.745670691999976,-48.24011244199994,aguas lindas de goias,GO
72912,-15.767092425999977,-48.23704185999998,aguas lindas de goias,GO
72914,-15.786174173999939,-48.26691499999998,aguas lindas de goias,GO
72915,-15.741386146444551,-48.25378242235161,aguas lindas de goias,GO
72916,-15.734776879195119,-48.25867376122329,aguas lindas de goias,GO
72917,-15.704326948834613,-48.27862455825168,aguas lindas de goias,GO
72920,-15.723933037999927,-48.29112999999995,aguas lindas de goias,GO
72921,-15.724759999999947,-48.32085981499995,aguas lindas de goias,GO
72922,-15.740445999999963,-48.33643610199994,aguas lindas de goias,GO
72925,-15.75293499999998,-48.29744391199995,aguas lindas de goias,GO
72926,-15.788836103999927,-48.33845999999994,aguas lindas de goias,GO
72927,-15.801842436999948,-48.299912974999984,aguas lindas de goias,GO
88150,-27.717158920659802,-48.87866544912449,aguas mornas,SC
39990,-15.75106145341658,-41.464734340341494,aguas vermelhas,MG
39999,-15.526818160913253,-41.49423151340945,aguas vermelhas,MG
13860,-22.082939511978545,-46.97330256063914,aguaí,SP
96540,-29.648736,-53.239010582105735,agudo,RS
17120,-22.537262999999946,-49.03575199999996,agudos,SP
17123,-22.45982088934671,-48.993330568333626,agudos,SP
17128,-22.461124193136992,-48.98499107323899,agudos,SP
17132,-22.467647802717686,-48.98338747714546,agudos,SP
83850,-25.990315403430923,-49.335410412302345,agudos do sul,PR
29795,-18.990726421457854,-40.73841079170947,aguia branca,ES
58778,-7.097456470455571,-38.17170618954127,aguiar,PB
77908,-6.5656407724557715,-47.48396172718714,aguiarnopolis,TO
77908,-6.559462517002985,-47.4774869528423,aguiarnópolis,TO
15945,-23.66055923146179,-46.81279601861032,agulha,SP
35200,-19.867151481720512,-41.23710382599857,aimores,MG
35200,-19.500018793993853,-41.30671187883418,aimorés,MG
45220,-14.127909213135215,-39.88766323343588,aiquara,BA
63575,-6.681411746869731,-40.083475621279845,aiuaba,CE
37450,-21.984343349325155,-44.60887582913467,aiuruoca,MG
98750,-28.244474699956367,-53.771914942198265,ajuricaba,RS
37458,-22.174668856045315,-44.64651490843818,alagoa,MG
58388,-7.053429272536643,-35.62473168562979,alagoa grande,PB
58125,-7.064927117159198,-35.7657920313632,alagoa nova,PB
58390,-6.95248696239574,-35.54543495608934,alagoinha,PB
55260,-8.470343079549746,-36.7737216008442,alagoinha,PE
64655,-7.0120107704311305,-40.93575284381444,alagoinha do piaui,PI
64655,-7.009824523092602,-40.93797293586319,alagoinha do piauí,PI
48000,-12.139441422507621,-38.42297614758382,alagoinhas,BA
48005,-12.148729658658047,-38.42604721771456,alagoinhas,BA
48010,-12.145448642111841,-38.4216096706682,alagoinhas,BA
48011,-12.134539092974135,-38.415125952319734,alagoinhas,BA
48020,-12.158874540524796,-38.45072728257739,alagoinhas,BA
48030,-12.147752019650579,-38.41104974176504,alagoinhas,BA
48031,-12.155611236784154,-38.411315086103315,alagoinhas,BA
48040,-12.157176440872222,-38.4195342863269,alagoinhas,BA
48050,-12.149071897089256,-38.431265432582606,alagoinhas,BA
48051,-12.161202771205145,-38.41711824996317,alagoinhas,BA
48060,-12.152338452110325,-38.44955287515032,alagoinhas,BA
48070,-12.141575498222283,-38.44407223769462,alagoinhas,BA
48071,-12.13481459863522,-38.434338485099595,alagoinhas,BA
48080,-12.135943689860216,-38.42955653767006,alagoinhas,BA
48090,-12.131612323386806,-38.42583348083585,alagoinhas,BA
18220,-23.568092855750987,-47.88939111855585,alambari,SP
37596,-22.202498590570354,-46.615635140440425,albertina,MG
35608,-20.458691319926867,-45.44170752561532,alberto isaacson,MG
65250,-2.407926575376194,-44.417561019342564,alcantara,MA
62120,-3.583954156003647,-40.5417956284588,alcantaras,CE
58460,-7.743232162444185,-36.0629876303929,alcantil,PB
79530,-18.328463531080082,-53.712223576211784,alcinopolis,MS
79530,-18.32644466112721,-53.70716220937843,alcinópolis,MS
45910,-17.543485947023395,-39.19182737027346,alcobaca,BA
45990,-17.553169463287425,-39.741554919740906,alcobaca,BA
45910,-17.54220292309704,-39.19360066299839,alcobaça,BA
65250,-2.4083131908965276,-44.41688184854101,alcântara,MA
62120,-3.587688265153402,-40.54641744935169,alcântaras,CE
35245,-19.008238421936294,-41.11203382038614,aldeia,MG
65610,-4.636776336219969,-43.47205668333437,aldeias altas,MA
98950,-27.673436999999947,-54.777490999999955,alecrim,RS
29500,-20.773520388407718,-41.53784621600265,alegre,ES
97541,-29.79020802826744,-55.794155043121606,alegrete,RS
97542,-29.799764704315752,-55.80542205647362,alegrete,RS
97543,-29.803436117285774,-55.81484958753351,alegrete,RS
97544,-29.79645588367611,-55.80629280612684,alegrete,RS
97545,-29.81662811825911,-55.8054670766212,alegrete,RS
97546,-29.80360614452659,-55.76834569563611,alegrete,RS
97547,-29.80739204323412,-55.752660449651664,alegrete,RS
64675,-7.243851021384939,-40.85762441802442,alegrete do piaui,PI
64675,-7.242075471150303,-40.85683738308052,alegrete do piauí,PI
36935,-19.927283923532038,-41.920068012601845,alegria,MG
98905,-27.832729297349836,-54.05671527419704,alegria,RS
36660,-21.8980359009168,-42.72574088436813,alem paraiba,MG
36666,-21.84151847580495,-42.61943279184712,alem paraiba,MG
68200,-1.9564139901581707,-54.74246677735843,alenquer,PA
83250,-25.55566301085127,-48.62850465992157,alexandra,PR
59965,-6.418988999999991,-38.008719,alexandria,RN
38282,-19.72988573521341,-50.20257254236585,alexandrita,MG
72930,-16.116716999999944,-48.48694999999995,alexania,GO
72930,-16.116716999999944,-48.48694999999995,alexânia,GO
37130,-21.44127756754983,-45.954291348774,alfenas,MG
37131,-21.44083630743335,-45.9480384729328,alfenas,MG
37132,-21.44437464009346,-45.950875185072526,alfenas,MG
37133,-21.43373610712469,-45.96175288107495,alfenas,MG
37135,-21.428415248198174,-45.95535409361681,alfenas,MG
37136,-21.4193542540616,-45.95870638026986,alfenas,MG
37137,-21.420244204695468,-45.956199456240945,alfenas,MG
29240,-20.649981344285127,-40.75036531609228,alfredo chaves,ES
18688,-22.59644690042727,-48.78980236394514,alfredo guedes,SP
19180,-21.957207151940537,-51.413266436673574,alfredo marcondes,SP
36272,-21.156942527737176,-43.76255081203967,alfredo vasconcelos,MG
88450,-27.709068695562692,-49.33336753936718,alfredo wagner,SC
58399,-6.9040744281326205,-36.01124478544995,algodão de jandaíra,PB
48832,-10.674079142611236,-39.05057508062291,algodões,BA
58320,-7.43840323118606,-34.910969374575394,alhandra,PB
55890,-7.6626853608372665,-35.17150899258071,alianca,PE
77455,-11.307201985420708,-48.934805767135884,alianca do tocantins,TO
55890,-7.6065236797352815,-35.230632629378015,aliança,PE
77455,-11.30718067563804,-48.937515427053356,aliança do tocantins,TO
45640,-14.706174778331913,-39.63880652042443,almadina,BA
77310,-11.578104778042206,-47.17029577248332,almas,TO
68230,-1.531725180764866,-52.579813049065194,almeirim,PA
39900,-16.228818000000004,-40.74846299999999,almenara,MG
59760,-6.159613628731341,-37.768746712663805,almino afonso,RN
83501,-25.3192863455479,-49.29813960727678,almirante tamandare,PR
83502,-25.321266199549925,-49.27467069830919,almirante tamandare,PR
83503,-25.33783994532287,-49.27065140175425,almirante tamandare,PR
83504,-25.34712528494451,-49.26608873955597,almirante tamandare,PR
83505,-25.34909819204811,-49.24120443545511,almirante tamandare,PR
83506,-25.346245463512552,-49.278975647414676,almirante tamandare,PR
83507,-25.362711319097496,-49.29521399999999,almirante tamandare,PR
83508,-25.381287587524646,-49.30402919107373,almirante tamandare,PR
83511,-25.34929908298231,-49.29988844685209,almirante tamandare,PR
83512,-25.32045295169951,-49.30365328183975,almirante tamandare,PR
83513,-25.30340942855347,-49.30418023133953,almirante tamandare,PR
83514,-25.301093132246997,-49.30371270098887,almirante tamandare,PR
99523,-28.139087999999944,-52.91662849999996,almirante tamandare do sul,RS
83501,-25.317714708580954,-49.281201257141234,almirante tamandaré,PR
83503,-25.33334924978366,-49.27890790106174,almirante tamandaré,PR
83504,-25.346995626983627,-49.2661575513589,almirante tamandaré,PR
83505,-25.350830753058798,-49.23726160735825,almirante tamandaré,PR
83506,-25.345034224536885,-49.2774993805182,almirante tamandaré,PR
83507,-25.35833267277395,-49.29039001540766,almirante tamandaré,PR
83508,-25.37968159533156,-49.30917260254491,almirante tamandaré,PR
83512,-25.318432246465438,-49.304549462663786,almirante tamandaré,PR
83513,-25.30202908159733,-49.303931719689444,almirante tamandaré,PR
83514,-25.26770252622771,-49.30077404593456,almirante tamandaré,PR
99523,-28.111052791742267,-52.91734552535572,almirante tamandaré do sul,RS
75615,-17.73426393347741,-49.47641118282638,aloandia,GO
75615,-17.724938627006498,-49.48113596867425,aloândia,GO
35138,-19.000253204108997,-42.001403676620995,alpercata,MG
98480,-27.253515711892522,-53.03326838672397,alpestre,RS
37940,-20.87230545051818,-46.395292696788864,alpinopolis,MG
37940,-20.87040540072037,-46.39622776550278,alpinópolis,MG
76952,-12.134992810912768,-61.85159579393668,alta alegre dos parecis,RO
78580,-10.026614999999946,-56.478900499999966,alta floresta,MT
76954,-12.243962999999944,-62.015115499999965,alta floresta d'oeste,RO
76954,-11.933363799034083,-61.993643598068175,alta floresta do oeste,RO
76954,-11.936514767963192,-62.00345070550289,alta floresta doeste,RO
15430,-20.52822217485887,-49.06100481553825,altair,SP
68371,-3.2226571765916647,-52.225996532157744,altamira,PA
68372,-3.227350202487685,-52.229662939961806,altamira,PA
68373,-3.218377252474678,-52.23374162869417,altamira,PA
68374,-3.2132263696359384,-52.23925519419042,altamira,PA
68375,-3.2007514957904664,-52.21982076610539,altamira,PA
68376,-3.220995626744915,-52.23061390117375,altamira,PA
68377,-3.1998608447040158,-52.20608652824117,altamira,PA
65310,-4.190206348093078,-45.565125740652114,altamira do maranhao,MA
85280,-24.801782623093032,-52.71594547080467,altamira do parana,PR
85280,-24.80004256455994,-52.71550754024809,altamira do paraná,PR
63195,-7.001792730110221,-39.7391826395743,altaneira,CE
37145,-21.26612231065548,-46.14897312622969,alterosa,MG
55490,-8.490757657732075,-36.05854348698276,altinho,PE
14350,-21.027820073933114,-47.371881934541136,altinopolis,SP
14350,-21.026593747001332,-47.37459065002337,altinópolis,SP
86695,-22.899708903318153,-51.889005760181064,alto alegre,PR
69350,2.98704283308845,-61.30831084316106,alto alegre,RR
99430,-28.808399999999946,-52.98518149999997,alto alegre,RS
16310,-21.587682930907793,-50.169361853052564,alto alegre,SP
85794,-22.896711706478502,-51.8908414339614,alto alegre do iguacu,PR
65413,-4.22140761137134,-44.45661344664941,alto alegre do maranhao,MA
65398,-3.9689759999999445,-45.96055999999996,alto alegre do pindare,MA
65398,-3.6726531914667504,-45.85624295664731,alto alegre do pindaré,MA
76952,-12.214271999999944,-61.91229499999996,alto alegre dos parecis,RO
78780,-17.415515999999947,-53.47958299999996,alto araguaia,MT
89730,-27.435274975991305,-51.90574997409418,alto bela vista,SC
78665,-11.772917082917678,-51.36601090415049,alto boa vista,MT
29475,-20.946109999999976,-41.61999999999995,alto calcado,ES
36979,-20.453123246656208,-41.87630706380951,alto caparao,MG
36979,-20.442819995998093,-41.867987470555505,alto caparaó,MG
59507,-5.321027999999945,-36.709581499999956,alto do rodrigues,RN
95773,-29.409793532649726,-51.28761033758133,alto feliz,RS
78770,-16.958537897529837,-53.534980488008365,alto garcas,MT
78770,-16.953271328601662,-53.53437868550033,alto garças,MT
76560,-14.197968738365688,-49.34248370763754,alto horizonte,GO
36976,-20.4330547532883,-41.9629212589697,alto jequitiba,MG
36976,-20.42834350592277,-41.96244315362312,alto jequitibá,MG
64360,-5.254312892916982,-42.205751434888185,alto longa,PI
36417,-20.562229075264067,-43.856807486033915,alto maranhao,MG
29737,-19.274999999999977,-40.90749999999997,alto mutum preto,ES
78410,-14.51487560528821,-56.4827304079323,alto paraguai,MT
87528,-23.510530090681815,-53.7271938823652,alto paraiso,PR
76862,-9.727440706953344,-63.3187935,alto paraiso,RO
73770,-14.184155999999945,-47.51490049999995,alto paraiso de goias,GO
87750,-23.136042222324615,-52.33221974062129,alto parana,PR
87750,-23.12987339903815,-52.29561821178236,alto paraná,PR
87528,-23.50562086030579,-53.73231372825629,alto paraíso,PR
76862,-9.72129258637749,-63.31570390949987,alto paraíso,RO
73770,-14.184155999999945,-47.51490049999995,alto paraíso de goiás,GO
65810,-9.479396999999945,-46.24456849999996,alto parnaiba,MA
65810,-9.118073756856596,-45.93202184189337,alto parnaíba,MA
87580,-24.157237662867775,-53.37271289777437,alto piquiri,PR
36260,-21.02844324160127,-43.40894031878825,alto rio doce,MG
29760,-19.062796908083886,-41.01980668527908,alto rio novo,ES
62970,-5.521655999999947,-38.22200449999997,alto santo,CE
78785,-17.844942675426122,-53.28109231618043,alto taquari,MT
87550,-23.881024638805844,-53.891116712687,altonia,PR
64290,-5.05516331239328,-42.460630184621884,altos,PI
87550,-23.87823554293518,-53.88899632598097,altônia,PR
18125,-23.569361842071256,-47.26321320663731,aluminio,SP
18125,-23.53573936582953,-47.25455155632884,alumínio,SP
39347,-16.408132897676698,-44.21771746392958,alvacao,MG
69540,-3.2110188563874753,-64.80427013726734,alvaraes,AM
35249,-19.42114622541002,-41.728439416564264,alvarenga,MG
15540,-20.322085934685486,-49.90526906315353,alvares florence,SP
19160,-22.101169106766065,-51.45235179440888,alvares machado,SP
17410,-22.08593564962353,-49.71659060056034,alvaro de carvalho,SP
17430,-22.44637562004453,-49.764952839622936,alvinlandia,SP
17430,-22.44708031643173,-49.764215776487035,alvinlândia,SP
35950,-20.1570749054544,-43.300908995206264,alvinopolis,MG
35950,-20.10970370363647,-43.059978118117265,alvinópolis,MG
36803,-21.212759654680113,-43.77310454002815,alvorada,MG
94810,-30.02523601589489,-51.06214910300187,alvorada,RS
94814,-30.012497132750596,-51.07504880064614,alvorada,RS
94818,-30.017558328807326,-51.06333526237639,alvorada,RS
94820,-30.008051733890426,-51.085720150615685,alvorada,RS
94824,-29.99791258525244,-51.076987990384694,alvorada,RS
94828,-30.000437614912958,-51.05863943428624,alvorada,RS
94830,-29.985256734666656,-51.0328950535929,alvorada,RS
94834,-30.00139539872393,-51.05485116071992,alvorada,RS
94836,-30.00939129948819,-51.0843815695276,alvorada,RS
94838,-30.03044637940643,-51.057997406419965,alvorada,RS
94850,-30.026930293097024,-51.067310754145936,alvorada,RS
94852,-30.01662672815381,-51.051220614380064,alvorada,RS
94853,-30.03646621505304,-51.05016750302062,alvorada,RS
94855,-30.046490411843372,-51.054340347198696,alvorada,RS
94856,-30.0497016954599,-51.06268688159585,alvorada,RS
94858,-30.041732999999947,-51.077995999999956,alvorada,RS
94859,-30.03762750568801,-51.08498368112871,alvorada,RS
77480,-12.48631132450263,-49.12372241340927,alvorada,TO
76930,-11.355135232858153,-62.29449832267061,alvorada d'oeste,RO
39140,-18.782716609438758,-43.43338754707457,alvorada de minas,MG
64923,-8.455556999999946,-43.978332499999965,alvorada do gurgueia,PI
64923,-8.455556999999946,-43.978332499999965,alvorada do gurguéia,PI
73950,-14.530691999999945,-46.62343249999995,alvorada do norte,GO
76930,-11.33501778449655,-62.276737115089645,alvorada do oeste,RO
86150,-22.787230296469712,-51.229005507543455,alvorada do sul,PR
36660,-21.890254709059917,-42.71307960092302,além paraíba,MG
79990,-23.14027243458412,-55.212548633775526,amambai,MS
79990,-23.134557471902767,-55.21166623323977,amambaí,MS
61979,-3.504514941264218,-39.57289793990247,amanari,CE
79742,-22.385330182396338,-53.594664287294876,amandina,MS
38455,-18.53401304549487,-48.19629512032545,amanhece,MG
68950,2.0534872566250724,-50.79293156636463,amapa,AP
65293,-1.6732576653020135,-46.01030262739159,amapa do maranhao,MA
68945,0.7771879222276791,-51.955832230238556,amapari,AP
87850,-23.097108273559442,-52.788493156837504,amapora,PR
87850,-23.093699420440217,-52.78981854680093,amaporã,PR
65293,-1.6747728410811775,-46.01120050486437,amapá do maranhão,MA
55515,-8.382198401987715,-35.45034741596354,amaraji,PE
96635,-30.877039999999965,-52.25662999999997,amaral ferrador,RS
76493,-13.92918664270075,-49.29855705800639,amaralina,GO
64400,-6.249830263775127,-42.85098995177482,amarante,PI
65923,-5.577456425209083,-46.740474175412636,amarante do maranhao,MA
35412,-20.325640208255113,-43.69029077872895,amarantina,MG
45300,-13.036071280083775,-39.60570046326308,amargosa,BA
69620,-3.3674126030749334,-68.19525623823559,amatura,AM
69620,-3.360578634395564,-68.19734060856122,amaturá,AM
44230,-12.415815000000004,-38.75334075000001,amelia rodrigues,BA
44910,-11.47640188627564,-41.51723883385388,america dourada,BA
13465,-22.75256360560335,-47.34737359838999,americana,SP
13466,-22.75962089425243,-47.32927756910384,americana,SP
13467,-22.782195000000005,-47.351621249999994,americana,SP
13468,-22.765973927629645,-47.353566332914475,americana,SP
13469,-22.744584471002327,-47.34734478573489,americana,SP
13470,-22.730703864058068,-47.351576058192464,americana,SP
13471,-22.73523668803739,-47.338587529141904,americana,SP
13472,-22.73410830866643,-47.32773855113653,americana,SP
13473,-22.730757674158927,-47.30501553344107,americana,SP
13474,-22.717615714957592,-47.285736118789316,americana,SP
13475,-22.731041532821,-47.26900220846662,americana,SP
13476,-22.751059409890633,-47.25048457171961,americana,SP
13477,-22.744504121011015,-47.30243020136758,americana,SP
13478,-22.754656152922877,-47.315566357608695,americana,SP
13479,-22.763944446887564,-47.268033429183426,americana,SP
68792,-1.307118562022031,-48.04169270069524,americano,PA
76165,-16.258892089491553,-49.98500576387768,americano do brasil,GO
14820,-21.752035954622894,-48.117357708254374,americo brasiliense,SP
15550,-20.305373964572087,-49.73970604027836,americo de campos,SP
98465,-27.388899000000002,-53.1532125,ametista do sul,RS
62540,-3.373024084667945,-39.83283199683669,amontada,CE
76140,-16.6298040646986,-51.093043596879504,amorinopolis,GO
76140,-16.615396337069903,-51.09695599941002,amorinópolis,GO
58548,-7.567798604832551,-37.06139422123334,amparo,PB
13900,-22.710843988835535,-46.777746511164466,amparo,SP
13901,-22.708684140590005,-46.77663615101926,amparo,SP
13902,-22.70853225229381,-46.752109344711194,amparo,SP
13903,-22.722140175519566,-46.75963478735128,amparo,SP
13904,-22.72724454352778,-46.780984590331755,amparo,SP
13905,-22.718790515978938,-46.80340853770529,amparo,SP
13908,-22.73037143239915,-46.86157143867712,amparo,SP
13909,-22.70075019543297,-46.721061720721295,amparo,SP
35444,-20.511202123286086,-42.79484649842891,amparo da serra,MG
49920,-10.129935198619389,-36.926615680686055,amparo de sao francisco,SE
85640,-25.92930301361294,-53.48230929539652,ampere,PR
85640,-25.932068890142105,-53.46983173099474,ampére,PR
44230,-12.418747127560108,-38.74859770175184,amélia rodrigues,BA
14820,-21.75145025924529,-48.11752140553753,américo brasiliense,SP
15550,-20.30189404063107,-49.738525200644254,américo de campos,SP
11770,-24.303711041917182,-47.066068664780154,ana dias,SP
57660,-9.687924644345655,-36.3070452389673,anadia,AL
45180,-14.61368670748358,-41.13726654577895,anage,BA
45180,-14.610797833111864,-41.13701921768496,anagé,BA
85425,-24.64933826703298,-53.13470905132827,anahy,PR
68810,-1.1631899999999433,-49.776298999999966,anajas,PA
65490,-3.2704953432662114,-44.620981179572766,anajatuba,MA
68810,-0.9856032706250328,-49.934355754097965,anajás,PA
13550,-22.134029731327633,-47.65590672585573,analandia,SP
69445,-3.5791632887343816,-61.4047788174341,anama,AM
77890,-6.375691732844389,-48.07020541434753,ananas,TO
67010,-1.4082309299680849,-48.4242348016027,ananindeua,PA
67013,-1.4000288718497462,-48.42956675848101,ananindeua,PA
67015,-1.3840326356793753,-48.40836101974514,ananindeua,PA
67020,-1.3982809028450796,-48.382855030912914,ananindeua,PA
67030,-1.4037723583298458,-48.39119606564139,ananindeua,PA
67033,-1.397212170560771,-48.36450068026214,ananindeua,PA
67035,-1.353766651352397,-48.362332407338094,ananindeua,PA
67040,-1.392020423657668,-48.37218136486922,ananindeua,PA
67100,-1.3815477239232332,-48.424300544066185,ananindeua,PA
67103,-1.379833894322116,-48.40401121466264,ananindeua,PA
67110,-1.4021412388353753,-48.40948992369615,ananindeua,PA
67113,-1.3878236605150405,-48.41573596054545,ananindeua,PA
67115,-1.391527153835097,-48.37177834051775,ananindeua,PA
67118,-1.398497508110531,-48.39800151241629,ananindeua,PA
67120,-1.39212249058674,-48.372172420859975,ananindeua,PA
67125,-1.3716437728741568,-48.405171117822924,ananindeua,PA
67130,-1.3970776857575455,-48.38533819974739,ananindeua,PA
